age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,addiction_level,productivity_score
21.0,5.95,2.81,2.61,6.99,283.0,100.0,Medium,28.49
34.0,3.82,2.33,0.28,7.47,266.0,93.65,Medium,18.54
29.0,3.57,1.64,5.21,6.34,137.0,100.0,Low,68.52
25.0,10.27,4.37,4.28,4.49,247.0,94.71,Medium,27.82
22.0,2.42,1.6,3.67,6.34,28.0,100.0,Low,51.09
35.0,6.19,2.19,7.26,4.41,218.0,100.0,Medium,67.38
21.0,3.68,1.23,1.34,7.41,296.0,100.0,Low,37.22
33.0,10.79,5.65,0.08,7.95,148.0,83.64,High,0.0
37.0,7.57,5.54,0.59,8.81,81.0,94.43,High,0.0
25.0,4.31,2.73,1.79,4.74,21.0,100.0,Medium,41.86
25.0,7.02,3.89,0.27,6.66,191.0,93.1,,3.38
38.0,9.31,5.95,4.02,6.84,264.0,88.88,High,16.42
35.0,11.58,6.01,2.51,8.61,107.0,100.0,High,9.91
18.0,4.2,3.62,1.44,7.14,102.0,100.0,Medium,8.89
22.0,10.86,3.62,6.0,4.73,24.0,100.0,Medium,53.49
38.0,11.34,7.98,1.64,6.18,58.0,77.17,,0.0
17.0,11.16,9.32,5.5,7.27,94.0,99.17,High,18.36
36.0,8.35,6.53,2.79,7.5,120.0,98.15,High,0.0
35.0,8.3,3.41,4.09,8.32,160.0,100.0,Medium,37.84
16.0,6.03,2.88,7.47,4.9,112.0,100.0,Medium,75.4
38.0,9.52,6.95,0.3,8.76,138.0,84.05,High,0.0
26.0,7.31,2.56,4.0,4.3,128.0,100.0,Medium,46.22
20.0,8.77,6.9,6.84,8.92,62.0,100.0,High,72.56
16.0,6.28,4.59,4.7,8.29,155.0,,Medium,44.39
35.0,9.31,6.87,2.21,7.3,236.0,89.12,High,3.27
15.0,10.24,3.69,3.18,7.67,175.0,100.0,Medium,24.97
26.0,3.46,2.53,5.44,4.36,58.0,100.0,Medium,28.36
36.0,10.33,7.31,7.13,4.21,45.0,89.04,High,22.73
26.0,7.4,5.91,0.33,4.51,51.0,90.6,High,0.0
39.0,10.45,3.4,0.57,4.44,65.0,92.02,Medium,20.26
,6.31,1.98,2.6,6.74,175.0,100.0,Low,21.98
24.0,5.79,3.03,1.86,5.08,263.0,99.09,Medium,19.28
30.0,11.15,4.34,2.12,8.3,54.0,100.0,Medium,20.44
29.0,4.51,2.86,1.77,6.23,297.0,89.63,Medium,22.04
29.0,10.44,8.88,1.57,7.48,261.0,76.18,High,0.0
33.0,6.84,3.66,1.04,7.26,278.0,91.37,Medium,0.0
26.0,7.14,,7.47,5.6,65.0,100.0,High,64.91
37.0,5.08,1.52,1.15,,256.0,99.26,Low,22.25
34.0,7.73,3.1,1.64,5.71,27.0,,Medium,19.19
39.0,,1.67,1.97,7.98,279.0,100.0,Low,40.81
17.0,2.39,1.19,7.46,6.93,290.0,,Low,86.78
19.0,4.72,3.99,6.05,5.27,63.0,100.0,Medium,33.71
33.0,2.06,0.74,6.32,,257.0,100.0,Low,91.14
21.0,11.78,7.82,0.84,4.27,186.0,72.24,High,0.0
35.0,11.66,6.66,6.69,7.5,95.0,100.0,High,56.72
23.0,5.95,5.14,3.27,6.2,176.0,87.86,High,20.23
21.0,9.28,3.47,,7.66,220.0,100.0,Medium,28.79
32.0,5.46,2.33,4.61,8.64,253.0,100.0,Medium,63.06
18.0,8.71,,6.58,7.75,251.0,100.0,Medium,52.46
39.0,10.05,5.63,6.23,6.21,231.0,100.0,High,30.86
28.0,11.47,5.35,7.12,4.75,173.0,100.0,High,46.32
32.0,6.0,4.93,7.43,8.03,232.0,100.0,Medium,77.28
23.0,9.83,6.52,1.9,6.3,106.0,83.51,High,13.47
35.0,4.66,3.11,3.39,4.38,37.0,100.0,Medium,19.05
16.0,11.9,7.37,0.12,7.6,210.0,71.21,High,0.0
